,MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,SUPERVISING_OFFICER_RANK,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,age_bin
31,January,Tuesday,Based on Radio Run,POM,SGT,Y,Housing,1,OTHER,3,Y,N,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),MALE,WHITE,5.9,175.0,MED,BRO,XXX,40,B,PBBX,BRONX,over_30
32,January,Tuesday,Based on Self Initiated,POM,SGT,Y,Housing,1,CRIMINAL TRESPASS,5,Y,N,Y,CRIMINAL TRESPASS,N,Y,(null),(null),(null),N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),MALE,BLACK,5.5,130.0,THN,BRO,BLK,40,B,PBBX,BRONX,over_30
33,January,Tuesday,Based on Self Initiated,POM,SGT,Y,PSB,1,CPW,5,Y,N,Y,CPW,N,N,(null),S,(null),Y,Y,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),MALE,WHITE,5.8,145.0,THN,HAZ,BLN,49,D,PBBX,BRONX,over_30
34,January,Tuesday,Based on C/W on Scene,POM,LT,Y,PSB,1,PETIT LARCENY,5,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK,5.1,220.0,HEA,BRO,BLK,63,B,PBBS,BROOKLYN,18_30
35,January,Tuesday,Based on C/W on Scene,POM,LT,Y,PSB,1,PETIT LARCENY,5,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK,5.8,160.0,THN,BRO,BLK,63,B,PBBS,BROOKLYN,over_30
36,January,Tuesday,Based on Radio Run,POM,SGT,Y,PSB,1,PETIT LARCENY,10,Y,N,N,(null),N,Y,(null),(null),(null),N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,6.5,175.0,THN,BRO,BLK,69,B,PBBS,BROOKLYN,0_17
38,January,Tuesday,Based on C/W on Scene,POM,SGT,Y,PSB,1,ROBBERY,1,Y,N,N,(null),N,N,(null),S,V,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),MALE,BLACK,5.7,160.0,THN,BRO,BRO,77,D,PBBN,BROOKLYN,0_17
39,January,Tuesday,Based on C/W on Scene,POM,SGT,Y,PSB,1,PETIT LARCENY,5,Y,N,N,(null),N,Y,(null),(null),(null),N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),BLACK,5.8,147.0,MED,BRO,BLK,79,C,PBBN,BROOKLYN,over_30
40,January,Tuesday,Based on C/W on Scene,DTS,SGT,Y,(null),1,THEFT OF SERVICES,15,Y,N,N,(null),Y,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),MALE,BLACK,6.1,150.0,THN,BRO,BLK,103,A,PBQS,QUEENS,18_30
41,January,Tuesday,Based on Radio Run,POM,SGT,Y,PSB,1,BURGLARY,27,Y,Y,N,(null),N,Y,(null),(null),(null),Y,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),Y,(null),MALE,ASIAN / PACIFIC ISLANDER,5.7,150.0,MED,BRO,BLK,106,D,PBQS,QUEENS,over_30
